;;;;;
"source: http://www.usgovernmentspending.com/";;;;;
"Comparison of State and Local Government Spending and Debt";;;;;
"in the United States";;;;;
"Fiscal Year 2005";;;;;
"Amounts in $ billion";;;;;
;;;;;
"State";"State & Local Spending";"State & Local Debt";"Gross State Product";"Real State Growth %";"Population "
"Alabama";31.8;22.5;151.1;2.8;4.5
"Alaska";10;8.8;37.8;-1;0.7
"Arizona";39.5;32.8;223;7.4;5.9
"Arkansas";16.7;11.2;88.2;2.9;2.8
"California";339.1;286;1692;4.3;36
"Colorado";35.1;39.4;217.4;3.8;4.6
"Connecticut";29.6;31.2;197.1;1.3;3.5
"Delaware";7.6;6.2;54.7;3.7;0.8
"District of Columbia";8.9;6.7;82.8;2.4;0.6
"Florida";130.9;113.3;680.3;6.1;17.5
"Georgia";60.7;39;363.2;2.9;8.9
"Hawaii";10.5;9.3;56.9;5;1.3
"Idaho";8.9;4;48.7;8.8;1.4
"Illinois";97.7;106.7;569.5;0.7;12.7
"Indiana";42.2;32.1;239.6;0.3;6.2
"Iowa";21.4;11.6;120.3;1.7;3
"Kansas";18.9;17.6;105.2;2.2;2.8
"Kentucky";27.3;30.2;139.3;2.5;4.2
"Louisiana";32.6;24.8;197.2;3.4;4.5
"Maine";10.2;7;45.6;-0.4;1.3
"Maryland";41.4;29.5;248.1;3.5;5.6
"Massachusetts";57.7;83;323.3;1.1;6.5
"Michigan";76.1;69;375.3;0.4;10.2
"Minnesota";42.9;36.3;238.4;1.7;5.2
"Mississippi";20;10.2;81.5;1.3;2.9
"Missouri";37.2;31.3;216.6;0.8;5.8
"Montana";6.4;5.4;30.1;3.1;0.9
"Nebraska";14.3;8.6;72.5;2;1.7
"Nevada";17.4;18.7;114.8;9.4;2.4
"New Hampshire";8.7;9.3;53.7;1.5;1.3
"New Jersey";78.5;72.9;430;1.5;8.7
"New Mexico";15.4;10.4;67.8;0.1;1.9
"New York";226.2;232.9;961.9;4.5;19.3
"North Carolina";60.1;40.9;355;5.6;8.7
"North Dakota";4.8;3.3;24.7;2.7;0.6
"Ohio";92;60.7;444.7;0.5;11.5
"Oklahoma";22;14.4;120.7;0.7;3.5
"Oregon";29.1;25.9;143.3;2.7;3.6
"Pennsylvania";101.3;100.5;482.3;0.6;12.4
"Rhode Island";9.2;8.7;44.2;-0.4;1.1
"South Carolina";33;29.9;141.9;2;4.2
"South Dakota";5;3.8;31.6;2.1;0.8
"Tennessee";42.8;25.6;224.5;2.2;6
"Texas";152;150.7;971;0.3;22.8
"All states combined";2363.7;2085.6;12638.4;3.1;295.5
"Utah";17.2;14.8;90.7;5.7;2.4
"Vermont";5.2;3.6;22.8;1.3;0.6
"Virginia";51.5;44.5;356.9;4.9;7.6
"Washington";55.8;53;279.4;5;6.2
"West Virginia";12.1;8.5;52;0.9;1.8
"Wisconsin";43.1;36.9;218.9;1.8;5.6
"Wyoming";5.6;1.9;26.2;-0.8;0.5
